fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.050915,3.59284,4.39044,0.074941,21.4469,18.6536,32.2389,0.018229,
0.030731,1.86591,2.09786,0.056712,18.7675,21.5414,27.5656,0.016203,
0.051963,3.49925,4.46978,0.062929,35.2165,18.8896,17.9293,0.01781,
0.049029,3.2791,4.50889,0.161266,23.3439,35.4354,15.8716,0.033733,
0.036527,1.52396,2.05428,0.054338,27.7008,23.4415,22.954,0.014247,
0.036318,4.30851,4.82681,0.055665,21.1204,27.7986,19.1653,0.028636,
0.039461,3.14857,5.35112,0.055245,18.4374,21.2213,22.4456,0.014248,
0.080179,3.69299,4.52607,0.056712,31.9534,18.5816,19.4258,0.01802,
0.058947,1.56133,2.03619,0.062928,15.7892,32.0819,36.0833,0.016762,
0.037645,3.35237,4.32765,0.058178,17.1347,15.8936,24.1154,0.015365,
0.060553,3.64096,4.98759,0.060065,21.4534,17.263,28.3303,0.020115,
0.039182,1.52243,2.06915,0.056433,14.53,21.5562,21.9589,0.015715,
0.053848,3.21855,4.4746,0.053709,15.6898,14.6432,19.2229,0.047633,
0.038972,3.36543,2.71876,0.059227,19.8491,15.7947,32.6502,0.029125,
0.056921,3.53354,4.54912,0.055175,18.2788,19.9685,16.4405,0.011943,
0.058109,4.54702,4.69635,0.059087,26.3031,18.4036,17.8034,0.016902,
0.039321,3.91216,4.50365,0.055594,28.7672,26.4049,22.1673,0.012921,
0.060624,4.50568,4.47201,0.070611,21.1897,28.9061,15.215,0.018788,
0.038623,3.45811,4.43891,0.055804,36.5771,21.292,16.3434,0.032407,
0.088002,1.80662,2.07355,0.108396,35.4099,36.7831,20.5095,0.03555,
0.039461,4.42648,4.51825,0.053919,36.0861,35.511,19.1567,0.024934,
0.040998,3.463,4.39253,0.054197,24.0464,36.1889,27.1333,0.014807,
0.059645,3.84846,5.12008,0.067468,25.8113,24.1795,29.512,0.017321,
0.040019,2.03954,2.03905,0.055385,35.989,25.9136,21.9566,0.013409,
0.05769,3.53599,4.86125,0.058249,12.7018,36.1121,37.0613,0.015784,
0.037295,3.27191,4.72526,0.05336,21.7464,12.7992,36.1247,0.013689,
0.053988,3.6029,4.55611,0.055804,24.1448,21.8638,36.9076,0.015086,
0.039321,3.36326,4.85203,0.056084,26.8122,24.2469,24.4384,0.013829,
0.061112,3.55463,4.45609,0.057271,17.993,26.938,26.6468,0.016553,
0.056224,4.04465,4.46447,0.053849,19.0101,18.1102,36.6636,0.014388,
0.03995,4.04137,4.59005,0.054966,24.1312,19.1136,13.0633,0.015715,
0.079062,4.47886,4.98585,0.101831,34.5768,24.3194,22.4924,0.048121,
0.03981,4.0758,4.45881,0.058179,25.2133,34.6814,24.4988,0.025143,
0.045397,4.3442,4.44275,0.065303,21.0645,25.3312,27.6413,0.016483,
0.060065,3.66924,4.41607,0.05294,23.3267,21.1852,18.6377,0.023817,
0.059995,3.37989,5.36691,0.05287,17.0632,23.4476,19.8844,0.016693,
0.059925,5.18078,4.63119,0.062928,18.631,17.1936,24.8611,0.017112,
0.043442,4.57545,4.48703,0.051404,31.891,18.7331,34.9556,0.022909,
0.04009,2.45713,2.23887,0.053918,25.3236,31.9936,25.8526,0.015715,
0.083392,3.65402,4.40385,0.087024,26.6891,25.5021,21.6997,0.019486,
0.039461,3.44414,4.50247,0.054896,34.1923,26.7896,24.2675,0.014736,
0.03995,3.79629,3.24474,0.0535,44.5172,34.2929,17.6884,0.014317,
0.06628,3.25096,4.36111,0.052871,19.0407,44.6426,19.3448,0.020953,
0.042045,1.68739,2.22001,0.063417,29.1833,19.1549,32.5734,0.015715,
0.041835,4.54856,4.41768,0.054128,16.8492,29.2873,26.2282,0.015644,
0.066351,3.88771,4.61407,0.058178,24.5269,16.9812,27.4214,0.017042,
0.040509,3.37255,4.51071,0.057132,16.0381,24.6325,34.9228,0.026191,
0.043512,1.5232,2.03682,0.055734,24.771,16.1459,45.1415,0.016134,
0.049868,3.36375,4.62916,0.087303,21.66,24.9153,19.6866,0.01795,
0.045887,3.63544,4.51176,0.08004,19.1827,21.7935,29.9001,0.016483,
0.044979,4.66157,5.83897,0.064394,20.775,19.2996,17.6942,0.016693,
0.042884,3.47445,4.75132,0.055874,32.065,20.8809,25.1438,0.0396,
0.058597,4.16457,4.44806,0.05783,27.7386,32.1894,16.9355,0.016552,
0.042045,5.17645,3.78637,0.05294,26.6407,27.8406,25.4184,0.045258,
0.042813,4.17868,4.37507,0.053918,27.6708,26.7445,22.3273,0.016273,
